record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-002459,nian,nian,verb,word,"to stow, to dress in, to stuff, to cram. ISTiar, a4i. thin, having large interstices ; — ad. scarcely, seldom. 5liat, t to push forward; — ad. suddenly, [as, ""tang shu ioh-i ia ka ""iju]e u khynnah u shu shim ?liat,''] niat, ka, n. {abhrev. of bniat), a tooth. niat-ksew, ka, n. the canine tooth. niat-duh, ka^ n. the wisdom tooth. niat-iawbei, ka, n. a milk tooth. niat-pyrshah, ka, n. a front tooth. niat-tyng-am, ka, n. a grinder, a molar. t Bengali, 143 •NIEH 5JIUR-5JIUR 'nieh {ahbrev. of snieh), ka, n. a skin, a hide,",159,0.975,1,no,pending,yes
kha-n1906-002456,niat-tyng-am niangriang,niat-tyng-am niangriang,noun,phrase,"a water beetle. niangriej, u, n. a Wood- worm. niangser, u, n. 2^ very bad kind of sore caused by parasites. niangsliit, u, n. prickly-heat. niangsohpet, u^ n. an infantile disease which affects the nayel. niangsynrang, u, n. leprosy (black). liiangtari, ii, n. a small kind of millepede. niangteng, adj. indolent, lazy. niangthangdoh, ka, n. a firefly, a moth. niangthylliej, u, n. thrush. niangthylliew, u, n. small-pox. niangting, ad. long and thin, slim ; (as, u "" briew uba raikhoh ntangting''). niangtrew, ka, n, a very bad sore caused by itch. niangtyngkhap, ka, n. a tick. iiiangtyrkhang, 2i, n. a millepede. niangtyrsim, (sa-), kaba, n. whitlow. ]>",158,0.950,1,no,pending,yes
kha-n1906-002463,niew-beifi,niew-beifi,verb,compound,to treat with contempt ; to lower in estimation.,159,0.975,1,no,pending,yes
kha-n1906-002464,niew-kor,niew-kor,verb,compound,to value highly ; to prize ; to appreciate.,159,0.975,1,no,pending,yes
kha-n1906-002466,niewtang,niewtang,verb,word,"to recount in detail, to relate. Nir-nir, (stang-), ad. very (thin), [as. "" kane ka kotsadakaba stang eh nir-tiir'.] 'fiiuh {ahbrev. of shniuh), u, n. hair,",159,0.975,1,no,pending,yes
kha-n1906-002476,niiit,niiit,noun,word,weeds. [Imit. u niut-u ilier.],160,0.975,1,no,pending,yes
kha-n1906-002473,niun-niun,niun-niun,adverb,reduplication,"shakily, [as, une u maw jingkienguba khieh fiiun^ niim du.J K^iup-niup, (jem-), ctd. hairy and soft, [as, ""u shniuh dngiem u long uba jem niiip-fiiup.''']",160,0.975,1,no,pending,yes
kha-n1906-002474,niur-niur,niur-niur,noun,reduplication,"a bog, a quagmire ;--ac^. tremulously, [as, ""une u lyngstong uba khih nmr-niiir ""]. U4i j ^lUREI",160,0.975,1,no,pending,yes
kha-n1906-002477,niutmaw,niutmaw,noun,word,"moss. — no = a s affix in Interrogative Pronouns and in Adverbs of time, place, condition, etc., as imo? who? hangno? where? myiino P when ? Nok (ia-), n. a game of cards, f",160,0.975,1,no,pending,yes
kha-n1906-002499,nohblei,nohblei,verb,word,to throw away the idols after the ceremonies of worship are over. [Imit. nohblei — noh-dken.],162,0.975,1,no,pending,yes
kha-n1906-002500,nohmynsiem,nohmynsiem,verb,word,"to be low-spirited ; to sigh. Noh-prah^'nai-), zi, ■;?. December.",162,0.975,1,no,pending,yes
kha-n1906-002501,nohrem,nohrem,verb,word,to be a cause of offence to the gods or spirits.,162,0.975,1,no,pending,yes
kha-n1906-002503,nohtah,nohtah,noun,word,"a ladder made of a single piece of wood with steps cut into it, a temporary bridge. Nohteh {colloquial enclitic loord), ad. very much, [as, "" ka krem kaba jylliew nohteh.^'']",162,0.975,1,no,pending,yes
kha-n1906-002502,nohtasor,nohtasor,noun,word,"a silk dhoti, a piece of cloth worn by males round the loins.",162,0.975,1,no,pending,yes
kha-n1906-002504,noi,noi,noun,word,"a small bamboo pipe, especially one for applying to the hole of a hookah when smoking.",162,0.975,1,no,pending,yes
kha-n1906-002505,noi-sha,noi-sha,noun,compound,a pipe lixed to the cocoa-nut shell of a hookah.,162,0.975,1,no,pending,yes
kha-n1906-002478,nokod,nokod,adverb,word,"ready-money, in cash. fNokol, ka, n. a copy. tNod, u, n. zero or nought; — ka, a nose-ring.",160,0.975,1,no,pending,yes
kha-n1906-002479,nong,nong,noun,word,"wages, gain, profit: a hired man or woman; any- thing given out for hire. \^ImU. ka nong-ka ni.] Nong=a square measure=6 dieng X 2 dieng ( a dieng or pole =9i feet.) *iiong {abbrev. of shnong), ka, n. a village, a town, a city; 2, {abbrev. of rnong), ka, n. brass or bronze. Nong= a prefix denoting a doer or agent ; (as, u nongi\\\i) ; a resident of a village (as, u ??o;^<7-Mawkhar, u y?o;?^-Sohra, etc.) Nongkhaii, u or ka, n. a merchant, a trader. [Imit. nongkhaii- nongpateng.]",160,0.975,1,no,pending,yes
kha-n1906-002486,nongiapam,nongiapam,noun,word,a fighting man ; a soldier.,161,0.975,1,no,pending,yes
kha-n1906-002480,nongkhat,nongkhat,noun,word,rent (of lind) . See BdiiocH.,161,0.975,1,no,pending,yes
kha-n1906-002481,nongkheinksuid,nongkheinksuid,noun,word,"a man who cures diseases or propitiates evil spirits by means of sacrifices, a diviner. [JmsY. nong- kheiiiksuid-nongkheinkhrei. ] •",161,0.975,1,no,pending,yes
kha-n1906-000236,nongkrem annual puj,nongkrem annual puj,adjective,phrase,(Bhed= quota of ^J(:w^ leaves).,18,0.975,1,no,pending,yes
kha-n1906-002483,nongkylliang,nongkylliang,noun,word,"a compensation, retribution.",161,0.975,1,no,pending,yes
kha-n1906-002484,nongkyndong,nongkyndong,noun,word,"a person who lives in an out-of-the-way village, a villager. [Imit. nongkyndong-nongkynshrot.]",161,0.975,1,no,pending,yes
kha-n1906-002487,nonglehpalat,nonglehpalat,noun,word,"a transgressor, an offender. \^Imit. nongleh- palat-nonglehpaliang.] *nonglieh, ka, n. a platinum-like metal. [Imit. 'nonsflieh-'nonsr- »tem.]",161,0.975,1,no,pending,yes
kha-n1906-002489,nongmuna nujor nongmuna,nongmuna nujor nongmuna,noun,phrase,"a specimen, a pattern.",161,0.975,1,no,pending,yes
kha-n1906-002488,nongphira,nongphira,noun,word,a watchman. t Beogalju | % English. 145,161,0.975,1,no,pending,yes
kha-n1906-002475,nongphira isliurei,nongphira isliurei,noun,phrase,a pheasant.,160,0.975,1,no,pending,yes
kha-n1906-002491,nongra,nongra,noun,word,any worn-out old brass vessel.,161,0.975,1,no,pending,yes
kha-n1906-002492,nongrim,nongrim,noun,word,foundation ; site of an abandoned village.,161,0.975,1,no,pending,yes
kha-n1906-002494,nongsaid-thma,nongsaid-thma,noun,compound,a politician ; a babbler. \_Imit. nongsaidthma- nongsaidktien.],162,0.975,1,no,pending,yes
kha-n1906-002493,nongsam,nongsam,noun,word,"silver, gold or whatever is burnt in the funeral pyre with the dead body, and which those who look after the burning of the dead body divide among themselves. [Imit. nongsam-nongpiet.]",161,0.975,1,no,pending,yes
kha-n1906-002495,nongsharai,nongsharai,noun,word,"a cowherd, a pastor.",162,0.975,1,no,pending,yes
kha-n1906-002497,nongtymmen,nongtymmen,noun,word,ancestral property ; an heirloom. [^Imit. nongty mmen- nongsan . ],162,0.975,1,no,pending,yes
kha-n1906-002498,nongwei,nongwei,noun,word,"a, stranger. [Imit. nongwei-nong-ar.] Noh, V. [to throw into ; — ad. away ; (ia-) to add a little quantity or number in excess of that sold or bought.",162,0.975,1,no,pending,yes
kha-n1906-002490,nougplilang,nougplilang,noun,word,the Kliasis living on the higher plateau of the Hills (as the Sheila people call them).,161,0.975,1,no,pending,yes
kha-n1906-002506,nuksa,nuksa,noun,word,"a figure, a pattern, a picture, a plan. Nud, V. to dare. 'nud {abbrev. of dohnud), u, n, the liver; the heart,",162,0.975,1,no,pending,yes
kha-n1906-002508,nup,nup,noun,word,the seed of a cerlain creeper growing in a pod used by the Khasis in wasliing their heads.,163,0.975,1,no,pending,yes
kha-n1906-002509,nup-khohsiew,nup-khohsiew,pronoun,compound,the knee-cap.,163,0.975,1,no,pending,yes
